NO.,Date,Origin Time (UTC),Latitude,Longitude,Depth(Km),Magnitude(degree),Location
129,19-02-2022,3:25:53,36.6213,44.4719,5,2.6,Bekhal - Soran - hawler
130,19-02-2022,19:34:28,34.411,45.4138,15,2.6, Abd allah Bayk - Khanaqin - Garmian
131,19-02-2022,22:32:14,36.071,45.1757,15,1.6,Dokan - Sulaymaniyah
132,20-02-2022,12:45:29,33.0334,46.692,13,4.3,Ilam - Iran
133,21-02-2022,1:36:15,32.5809,46.3861,11,3.4,Shayk Sa'd - Kut
134,21-02-2022,2:46:50,34.756,45.8353,15,2.3,Kermanshah - Iran
135,21-02-2022,11:48:30,35.4884,46.2462,15,2,LanjAwa - Iran
136,21-02-2022,22:10:19,34.6796,46.1758,15,2.3,Kermanshah - Iran
137,22-02-2022,3:41:36,35.7369,46.0607,10,1.9,Kani Bi - Penjwin - Sulaymaniyah
138,22-02-2022,7:29:57,32.1396,46.4002,10,3.3,Kut
139,23-02-2022,13:08:02,35.6603,45.9466,15,2.2,Kelu -  Penjwin - Sulaymaniyah
140,23-02-2022,13:13:17,35.663,45.951,15,2.8,Kelu -  Penjwin - Sulaymaniyah
141,24-02-2022,3:50:06,35.6768,45.991,15,1.9,Dara Gurgan -  Penjwin - Sulaymaniyah
142,24-02-2022,4:34:40,34.8052,45.6462,15,2.7,Haji Lar - Kalar - Garmian
143,24-02-2022,15:22:49,35.0894,45.5667,11.8,2.5,Barkal - Darbandikhan  - Sulaymaniyah
144,26-02-2022,13:06:20,35.2645,46.5063,15,2.5,Ngl - Iran
145,26-02-2022,15:52:13,34.8305,45.5627,13,2.7,Daruni Khan -  Darbandikhan  - Sulaymaniyah
146,28-02-2022,0:51:47,34.6435,46.3087,11.9,2,Kermanshah - Iran
147,28-02-2022,4:35:29,35.9737,45.6193,15,2.1,Alut -  Iran
148,28-02-2022,15:28:13,35.3298,46.3826,8,2.1,Sawllawa - Iran
149,2/3/22,4:53:57,35.4478,45.3789,5,2.1,Glazarda - Sulaymaniyah
150,2/3/22,5:58:57,34.9498,48.8923,15,2.4,Hamadan  -  Iran
151,3/3/22,10:54:32,36.4931,44.862,15,2.6,Warte - Choman - Soran
